name,latitude,longitude,num_reviews
Old School - The Food Project,37.968426,23.729174,178.0
Thase Kano Vasilissa,37.981968,23.709564,61.0
Shiraki,37.974426,23.733147,45.0
Tavern Kalokerinos,37.973,23.730934,188.0
Frater & Soror,37.972103,23.744602,82.0
B Social,37.978683,23.724178,39.0
Sam Has The Wrong Boyfriend,37.981586,23.71692,110.0
Codice Blu,37.97829,23.743402,133.0
Kapnikarea,37.976284,23.728386,83.0
Gargaretta,37.9682,23.727137,98.0
Cherchez la Femme,37.97542,23.730536,273.0
Acropolis Museum Restaurant,37.968803,23.728277,1289.0
Ble Papagalos,37.982815,23.720074,179.0
Ilissia Cafe Bistrot,37.97537,23.744312,123.0
Uberness,37.960747,23.681356,229.0
Filema Restaurant,37.97685,23.73006,386.0
Palia Taverna Kritikou,37.973503,23.727898,45.0
GB Corner Gifts & Flavors,37.976166,23.735546,42.0
Dioskouri,37.973526,23.72517,172.0
Manouka Athens,37.976303,23.72947,45.0
Despina Millefeuilles,37.978394,23.745577,42.0
Andrianos,37.97155,23.730068,761.0
Veneti Monastiraki,37.984303,23.728596,45.0
Metaxou,37.985733,23.715174,65.0
Restaurant Paula,37.988266,23.729185,75.0
Melina Merkouri Cafe,37.973274,23.728685,337.0
Misafir,37.97674,23.72488,264.0
Guapa Paella and Cocktail Bar,37.974487,23.733055,91.0
To Avgo Tou Kokkora,37.98263,23.719418,137.0
Bakalogatos,38.001827,23.740013,83.0
Ouzeri Lesvos,37.984592,23.73298,214.0
Karyatis,37.974987,23.727646,375.0
Puro Gusto,37.93775,23.949192,51.0
Taverna Lefka,37.98697,23.742132,39.0
Seirines,37.969563,23.730661,128.0
48 Urban Garden,37.986828,23.752024,131.0
Plakiotissa Taverna Mezedopolio,37.969555,23.730429,609.0
Poke Hawaiian Sushi,37.97554,23.731592,61.0
Goody's Burger House,37.99346,23.73004,103.0
Taverna PANOS,37.96817,23.730461,118.0
Ice Queen Gelato,37.968674,23.729618,51.0
Exostrefis,37.987816,23.738014,53.0
Eris Restaurant - Cafe,37.970924,23.73017,340.0
PS,37.986195,23.721598,48.0
Nomads Athens,37.97717,23.72147,53.0
Maraboo ice cream,37.97141,23.74606,56.0
To 21,37.978775,23.723927,228.0
Athineon Politia,37.974514,23.719852,102.0
Elaia Restaurant,37.973152,23.72869,231.0
Starbucks - Monastiraki,37.976086,23.727352,162.0
Elvis,37.9679,23.743513,45.0
Ikura Sushi Bar,37.97422,23.734024,130.0
Korova,37.9808,23.716816,113.0
Papadakis,37.979797,23.740368,312.0
Lit Athens,37.976612,23.722073,39.0
Del Sol,37.97888,23.711414,56.0
Kosta's Souvlaki,37.977673,23.72786,450.0
Skales,37.974586,23.719301,52.0
Savvas,37.976738,23.725067,1338.0
Winepoint,37.968536,23.729548,156.0
Spezie,37.969215,23.729786,153.0
Nakama,37.981617,23.736776,285.0
Lontos,37.97472,23.71977,416.0
Flower,37.982807,23.756678,129.0
Ermou 18 Beyond the Horizon,37.976006,23.731924,48.0
Mantzarou 3,37.980576,23.736969,53.0
Sporos,37.941433,23.716473,54.0
Papayannis,37.98022,23.758823,51.0
Il Salumaio di Montenapoleone,38.073387,23.812754,46.0
Michail of Athens,37.98381,23.72754,59.0
Lola Bar,37.974174,23.71109,57.0
Akrovatis,37.98783,23.72267,88.0
MONTALBANO,37.9775,23.731342,55.0
Estia Cafe Restaurant,37.971878,23.730999,928.0
Big Mouth,37.978603,23.730278,52.0
To Drami,37.987778,23.659487,154.0
Rock and Roll,38.0,23.75301,69.0
Attic Urban Rooftop,37.97694,23.725397,49.0
Enastron,37.978127,23.724375,353.0
Crescendo Cafe,37.968933,23.729645,52.0
The Ice Cream Shop,37.976112,23.726112,122.0
Old Ithaki,37.974937,23.730076,511.0
Madame Phu Man Chu,37.9791,23.729643,79.0
Apollonia Lyra,37.97357,23.727987,410.0
Nikitas,37.978733,23.724068,407.0
Salero,37.98561,23.735458,273.0
Novak Athens Towers,37.98394,23.760664,65.0
O Gyros pou Girevis,37.96868,23.729767,290.0
Air Lounge Bar & Restaurant,37.98124,23.72676,42.0
Karakoy Gulluoglu,37.975277,23.734167,110.0
I Gusti Cafe Restaurant,37.976135,23.730722,63.0
O'Brettos Bar and Restaurant,37.971733,23.730427,100.0
To Pithari,37.976315,23.723608,45.0
42 Barstronomy .Athens,37.977093,23.733414,144.0
The brunch factory,37.977177,23.726282,208.0
Metropolis Sandwich,37.97668,23.73289,46.0
Flocafe,37.93637,23.947,68.0
Cafe Roua,37.969105,23.725119,75.0
Metropolis Roof Garden,37.974915,23.732,145.0
Favela All Day Bar Restaurant,37.98017,23.71493,75.0
Mask,37.977654,23.7293,207.0
Monsieur Barbu,37.964653,23.725971,107.0
In Town,37.975403,23.731915,474.0
Terrakarpo,37.96759,23.729147,122.0
Svejk,37.95749,23.726543,99.0
Stick Bar,37.97835,23.745195,224.0
Goody's Burger House,37.975056,23.73407,67.0
Kitpo,37.975033,23.72751,50.0
Quick Pitta,37.97607,23.727463,898.0
Attic Moon,37.974316,23.733446,125.0
Bread Factory,37.985264,23.72093,425.0
Filippou,37.978973,23.744621,204.0
Neos Rigas,37.972446,23.730404,108.0
Tranzistor Cafe,37.978188,23.725826,83.0
Coffee Joint,37.966793,23.731068,284.0
The Pitta Co,37.97687,23.728931,53.0
To Sermpetospito,37.97836,23.724815,63.0
I Palia Athena,37.973248,23.733032,158.0
Chau's,37.93905,23.74306,67.0
Avli,37.97965,23.725828,265.0
Dexameni,37.978985,23.742031,121.0
Byzantino Taverna,37.971996,23.731209,478.0
Pame Tsipouro Pame Kafeneio - Fokionos,37.97741,23.727777,133.0
To 24oro,37.966274,23.728697,123.0
Zorbas,37.97337,23.72877,568.0
Erythros Grill,37.989002,23.764608,81.0
Piedra,37.97484,23.708626,42.0
Laluk Cafe-Bar,37.962837,23.722143,69.0
En Iordani,37.978416,23.724672,52.0
Chemin Bistro Cafe,37.97574,23.73061,48.0
Zisis - Fish in the Cone,37.976807,23.729132,247.0
Creme Royale,37.979145,23.72675,81.0
Taf Coffee,37.98344,23.730854,143.0
Scholarchio,37.972523,23.729446,1580.0
Lotte,37.967144,23.727222,95.0
Nancy's Sweet Home,37.97835,23.724836,1105.0
Lykovrisi Restaurant Bar,37.977467,23.741379,53.0
Zonars,37.977283,23.735477,533.0
Konstantinidis Pastry,37.976814,23.734093,69.0
Coffee Island,37.97689,23.72559,148.0
Little Kook,37.97767,23.724379,1503.0
Postscript,37.985786,23.72155,69.0
China Town,37.96658,23.7331,59.0
Beauty Killed the Beast,37.983185,23.715858,106.0
Olympion,37.966442,23.73445,123.0
Olympos Naousa,37.976658,23.731354,51.0
Istories Gefseon Panormou,37.993137,23.765903,52.0
Oasis Cafe,37.971996,23.734089,634.0
Indian Kitchen,37.974747,23.732447,395.0
Shamone,37.978096,23.709185,58.0
Monsieur Cannibale,37.96594,23.746756,81.0
Cafe Lycabettus,37.98199,23.743412,120.0
Naanwich,37.976994,23.72333,58.0
Nikkei,37.979076,23.742205,281.0
chandelier plaka,37.97462,23.729548,57.0
Pitulka,37.99305,23.731264,63.0
Xenios Zeus,37.972954,23.72768,378.0
Da Panda,37.9759,23.733414,62.0
BabaJi Indian Food,37.97498,23.733171,251.0
Akadimias Brizolakia,37.982903,23.734486,97.0
O Psaroulis,37.871975,23.752457,45.0
Fita,37.959545,23.723433,84.0
Portatif cafe,37.981403,23.737434,183.0
Mikro Cafe Athens,37.976006,23.72725,67.0
Beneth,37.97328,23.73027,235.0
The Dark Side of Chocolate,37.98032,23.73664,69.0
Diogenes,37.971046,23.729963,1138.0
Lefteris o Politis,37.9852,23.727367,67.0
Mentor Cafe,37.975468,23.719486,87.0
Tivoli,37.98433,23.732624,70.0
Hard Rock Cafe,37.97568,23.725315,841.0
Aiolou 68,37.980076,23.728947,381.0
Mr Pug,37.97333,23.73306,39.0
to kreas,37.970116,23.712473,195.0
Protoraki - Giagia Koukou,38.01156,23.689102,47.0
Fabrica De Vino,37.982918,23.729824,194.0
Gazarte,37.978825,23.712341,129.0
Club Neon Restaurant,37.984913,23.728657,127.0
Ante Post,37.9782,23.745094,64.0
Riza Riza,37.965714,23.725668,180.0
Sfika,37.96617,23.726294,747.0
Ristorante Italia,37.970734,23.743067,80.0
Palio Tetradio,37.973244,23.727732,153.0
Oi Nostimies Tis Mairis,37.99758,23.735394,95.0
Domino's Pizza,37.94785,23.71608,75.0
Clemente VIII,37.977,23.73502,73.0
Kalamaki Bar,37.96545,23.725786,716.0
Thea By Latifis,37.971733,23.730425,154.0
Pink Elephant DownTown,37.984093,23.738703,68.0
Geros Tou Moria,37.97333,23.727827,631.0
Oxo Nou,37.98562,23.73507,295.0
O Glikis,37.97244,23.731028,201.0
Mayor,37.976784,23.74035,114.0
Froots Juice Bar,37.96858,23.729933,87.0
Premiere Restaurant & Lounge Bar,37.959366,23.721857,214.0
Mailo's - The Pasta Project,37.9781,23.744593,45.0
Zafiro Experience,38.007397,23.75648,115.0
Ioannis Restaurant,37.967766,23.7322,108.0
My Plate,37.97838,23.71153,172.0
Le Greche,37.975254,23.73258,706.0
MusiqueCafe,37.9719,23.745598,115.0
Ilios,37.977272,23.734392,82.0
Coco's Ice Cream & Frozen Yogurt,37.971813,23.730762,75.0
Ouzeri tou Laki,37.994366,23.729874,230.0
Diporto,37.981476,23.72558,336.0
Aster,37.969006,23.712723,233.0
Tazza,37.975513,23.731817,457.0
Atrium Greek Bistrot Restaurant,37.96831,23.7272,73.0
Guarantee,37.96624,23.72622,82.0
o Mythos,38.075027,23.819342,54.0
Peinirli Eleftheriadis,38.117287,23.862293,115.0
Mpar Mpee Kiou,37.93439,23.64268,881.0
Old Bakers,37.946922,23.64354,55.0
Darling,37.942673,23.646456,103.0
To Theatron,37.94233,23.647667,44.0
