name,latitude,longitude,rating,num_reviews,rooms,total_grade
Hotel Brazil Inn,37.9955,23.72854,4.0,12.0,15.0,93.0
Hotel Hellenis,37.951202,23.710302,2.5,181.0,86.0,60.0
Athens Mansion Luxury Suites,37.979492,23.728968,4.5,140.0,18.0,100.0
Elikon Hotel,37.984856,23.728855,3.5,79.0,24.0,100.0
Acropolis Museum Boutique Hotel,37.96605,23.728483,4.0,1385.0,23.0,100.0
Hotel Katerina,37.98603,23.722237,4.0,625.0,51.0,100.0
Elia Ermou Athens Hotel,37.97559,23.731894,4.5,415.0,123.0,100.0
Hera Hotel,37.966984,23.729013,4.5,1411.0,38.0,100.0
AD Athens Luxury Rooms and Suites,37.968525,23.730007,5.0,245.0,0.0,100.0
Neoma,37.966663,23.722897,5.0,18.0,16.0,100.0
Herodion Hotel,37.96833,23.727125,4.5,3215.0,90.0,100.0
Stalis Hotel,37.98486,23.72472,3.0,50.0,31.0,100.0
Hotel Socrates,37.990803,23.721231,3.0,246.0,47.0,88.0
Dorian Inn Hotel,37.982864,23.725626,3.5,1215.0,142.0,100.0
NLH Fix - Neighborhood Lifestyle Hotels,37.965157,23.727257,5.0,287.0,13.0,100.0
Adrian Hotel,37.974674,23.727816,4.0,477.0,22.0,100.0
La Mirage,37.98474,23.72751,2.0,30.0,110.0,100.0
Project 3 Urban Chic Hotel,37.9782,23.741419,5.0,23.0,10.0,100.0
Art Hotel,37.987595,23.727564,3.5,982.0,30.0,100.0
"InterContinental Athenaeum Athens, an IHG Hotel",37.959415,23.721506,4.0,2864.0,563.0,96.0
Hotel Orpheus,37.986485,23.726223,1.0,2.0,39.0,100.0
Brazil Hotel,37.99308,23.72838,4.0,114.0,20.0,96.0
Athens Market Portrait,37.98001,23.726406,4.5,42.0,26.0,100.0
The Athens Gate Hotel,37.968777,23.731386,4.5,4656.0,99.0,100.0
InnAthens,37.97356,23.734259,5.0,766.0,37.0,100.0
Hotel Nefeli,37.97305,23.731394,3.5,301.0,18.0,100.0
Arethusa Hotel,37.975304,23.732977,3.5,1203.0,87.0,100.0
Ilissos Hotel,37.961338,23.720568,3.5,726.0,91.0,100.0
Epidavros Hotel,37.983833,23.724722,3.5,12.0,51.0,100.0
Athens Delta Hotel,37.98707,23.719357,2.5,130.0,31.0,100.0
Phidias Hotel,37.975086,23.719769,3.0,374.0,15.0,100.0
Apollo Hotel,37.98512,23.719912,3.5,751.0,51.0,100.0
Hotel Ikaros,37.9856,23.72495,2.5,9.0,15.0,100.0
Exis Boutique Hotel,38.002758,23.733406,3.5,57.0,26.0,88.0
Perianth Hotel,37.977394,23.728418,4.5,135.0,38.0,100.0
Hotel Solomou Athens,37.98737,23.728378,3.0,295.0,50.0,100.0
Hotel Aristoteles,37.988293,23.726727,3.0,675.0,60.0,98.0
Elefsina Hotel,38.04831,23.540205,4.5,241.0,83.0,69.0
Hotel Noufara,37.941734,23.645758,4.0,107.0,56.0,100.0
the alex MONTE KASTELLA,37.93954,23.66153,5.0,47.0,34.0,85.0
Piraeus City Hotel,37.942314,23.644379,4.0,1237.0,47.0,100.0
Savoy Hotel,37.93698,23.642021,3.5,268.0,71.0,94.0
Glaros Hotel,37.93842,23.64102,3.5,93.0,31.0,97.0
Olympic Hotel,37.946102,23.66849,3.5,11.0,0.0,72.0
Faros 1 Hotel,37.938766,23.641579,4.0,351.0,42.0,97.0
Hotel Poseidonio,37.93867,23.641026,4.0,103.0,91.0,98.0
Hotel Ideal,37.9388,23.64143,3.5,158.0,31.0,97.0
